,id,review_count,categories,rating,neighbourhood,count_of_businesses,scores
103,82wA_Vfg_eDckx23d3dA_g,606,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,Little Italy,48,24.22680412371134
104,zR92VSkXj1rt5KTJ15bkAw,480,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,Murray Hill,23,11.34020618556701
105,KCBfW6sWl9Gx-LvMff08jg,1285,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,Little Italy,48,24.22680412371134
106,qOomR3AwClOGpV1HdqOTFg,337,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,Chinatown,82,41.75257731958763
107,lXGCo-K7eftxRT_6E59-Iw,1345,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,Flatiron,39,19.587628865979383
108,q0hMNf-YhfDMFQyUQdsIJg,195,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,Tudor City,8,3.608247422680412
109,flcy6dNr4s12PTv6VtBK9Q,220,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,Little Italy,48,24.22680412371134
110,Jy0nQ1uI8KPvTv8nBZGdMg,225,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.0,Noho,90,45.876288659793815
111,yecdlU3oJb1c7rwbjtxchQ,196,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.5,Noho,90,45.876288659793815
112,bEXTA_Gwo2oVg4gnFd9fNA,1464,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,Midtown South,47,23.711340206185564
113,7Qvh0oFRsoqrO9qNlcMKXQ,2671,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.0,Greenwich Village,70,35.56701030927835
114,tnxb_qM5e7J5wIfYwJB3Ig,258,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.5,Midtown,59,29.896907216494846
115,SmLFW1Ncg26KfVRVX3GVFQ,175,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'korean', 'title': 'Korean'}]",4.5,Midtown South,47,23.711340206185564
116,6eqrk1wCQMww_ejze5gvsg,135,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,Noho,90,45.876288659793815
